country_name,type,product,flow,year,value
Australia,Balance,Crude oil,Industrial Production,2021,18029.678
Austria,Balance,Crude oil,Industrial Production,2021,561.852
Belgium,Balance,Crude oil,Industrial Production,2021,0
Canada,Balance,Crude oil,Industrial Production,2021,266630.18
Chile,Balance,Crude oil,Industrial Production,2021,340.997
Czech Republic,Balance,Crude oil,Industrial Production,2021,87
Denmark,Balance,Crude oil,Industrial Production,2021,3239
Estonia,Balance,Crude oil,Industrial Production,2021,0
Finland,Balance,Crude oil,Industrial Production,2021,0
France,Balance,Crude oil,Industrial Production,2021,874
Germany,Balance,Crude oil,Industrial Production,2021,3085.15
Greece,Balance,Crude oil,Industrial Production,2021,58.754
Hungary,Balance,Crude oil,Industrial Production,2021,1095
Iceland,Balance,Crude oil,Industrial Production,2021,0
Ireland,Balance,Crude oil,Industrial Production,2021,0
Israel,Balance,Crude oil,Industrial Production,2021,168
Italy,Balance,Crude oil,Industrial Production,2021,5831.078
Japan,Balance,Crude oil,Industrial Production,2021,383.249
South Korea,Balance,Crude oil,Industrial Production,2021,1078.892
Latvia,Balance,Crude oil,Industrial Production,2021,0
Lithuania,Balance,Crude oil,Industrial Production,2021,28.6
Luxembourg,Balance,Crude oil,Industrial Production,2021,0
Mexico,Balance,Crude oil,Industrial Production,2021,95425.431
Netherlands,Balance,Crude oil,Industrial Production,2021,1121.065
Norway,Balance,Crude oil,Industrial Production,2021,95055.743
New Zealand,Balance,Crude oil,Industrial Production,2021,975
Poland,Balance,Crude oil,Industrial Production,2021,895.294
Portugal,Balance,Crude oil,Industrial Production,2021,0
Slovakia,Balance,Crude oil,Industrial Production,2021,4.557
Slovenia,Balance,Crude oil,Industrial Production,2021,0
Spain,Balance,Crude oil,Industrial Production,2021,5.816
Sweden,Balance,Crude oil,Industrial Production,2021,0
Switzerland,Balance,Crude oil,Industrial Production,2021,0
Türkiye,Balance,Crude oil,Industrial Production,2021,3441.66
United Kingdom,Balance,Crude oil,Industrial Production,2021,40865
United States,Balance,Crude oil,Industrial Production,2021,702512
Australia,Balance,Crude oil,Industrial Production,2021,16725.052
Austria,Balance,Crude oil,Industrial Production,2021,515.782
Belgium,Balance,Crude oil,Industrial Production,2021,0
Canada,Balance,Crude oil,Industrial Production,2021,274365.886
Chile,Balance,Crude oil,Industrial Production,2021,378.02
Czech Republic,Balance,Crude oil,Industrial Production,2021,78
Denmark,Balance,Crude oil,Industrial Production,2021,3186
Estonia,Balance,Crude oil,Industrial Production,2021,0
Finland,Balance,Crude oil,Industrial Production,2021,0
France,Balance,Crude oil,Industrial Production,2021,887
Germany,Balance,Crude oil,Industrial Production,2021,2917.057
Greece,Balance,Crude oil,Industrial Production,2021,0
Hungary,Balance,Crude oil,Industrial Production,2021,1080
Iceland,Balance,Crude oil,Industrial Production,2021,0
Ireland,Balance,Crude oil,Industrial Production,2021,0
Israel,Balance,Crude oil,Industrial Production,2021,168
Italy,Balance,Crude oil,Industrial Production,2021,5077.739
Japan,Balance,Crude oil,Industrial Production,2021,327.153
South Korea,Balance,Crude oil,Industrial Production,2021,1174.823
Latvia,Balance,Crude oil,Industrial Production,2021,0
Lithuania,Balance,Crude oil,Industrial Production,2021,26.5
Luxembourg,Balance,Crude oil,Industrial Production,2021,0
Mexico,Balance,Crude oil,Industrial Production,2021,95823
Netherlands,Balance,Crude oil,Industrial Production,2021,713.054
Norway,Balance,Crude oil,Industrial Production,2021,89970.464
New Zealand,Balance,Crude oil,Industrial Production,2021,875
Poland,Balance,Crude oil,Industrial Production,2021,901.99
Portugal,Balance,Crude oil,Industrial Production,2021,0
Slovakia,Balance,Crude oil,Industrial Production,2021,2.143
Slovenia,Balance,Crude oil,Industrial Production,2021,0
Spain,Balance,Crude oil,Industrial Production,2021,0.912
Sweden,Balance,Crude oil,Industrial Production,2021,0
Switzerland,Balance,Crude oil,Industrial Production,2021,0
Türkiye,Balance,Crude oil,Industrial Production,2021,3583.113
United Kingdom,Balance,Crude oil,Industrial Production,2021,37750.743
United States,Balance,Crude oil,Industrial Production,2021,749969
Australia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,836
Austria,Balance,Liquified Petroleum Gas,Net Deliveries,2021,81.893
Belgium,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2211.3
Canada,Balance,Liquified Petroleum Gas,Net Deliveries,2021,6518.472
Chile,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1382.13
Czech Republic,Balance,Liquified Petroleum Gas,Net Deliveries,2021,432
Denmark,Balance,Liquified Petroleum Gas,Net Deliveries,2021,62
Estonia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,15
Finland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,944
France,Balance,Liquified Petroleum Gas,Net Deliveries,2021,3548
Germany,Balance,Liquified Petroleum Gas,Net Deliveries,2021,3555.466
Greece,Balance,Liquified Petroleum Gas,Net Deliveries,2021,498.758
Hungary,Balance,Liquified Petroleum Gas,Net Deliveries,2021,572
Iceland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2.115
Ireland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,158.117
Israel,Balance,Liquified Petroleum Gas,Net Deliveries,2021,557
Italy,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2863.519
Japan,Balance,Liquified Petroleum Gas,Net Deliveries,2021,10491.586
South Korea,Balance,Liquified Petroleum Gas,Net Deliveries,2021,9888.434
Latvia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,72.75
Lithuania,Balance,Liquified Petroleum Gas,Net Deliveries,2021,124.9
Luxembourg,Balance,Liquified Petroleum Gas,Net Deliveries,2021,0
Mexico,Balance,Liquified Petroleum Gas,Net Deliveries,2021,4563
Netherlands,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2043.103
Norway,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1588.504
New Zealand,Balance,Liquified Petroleum Gas,Net Deliveries,2021,164
Poland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2506.043
Portugal,Balance,Liquified Petroleum Gas,Net Deliveries,2021,842.981
Slovakia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,81.159
Slovenia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,82
Spain,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1801.062
Sweden,Balance,Liquified Petroleum Gas,Net Deliveries,2021,895.853
Switzerland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,161.188
Türkiye,Balance,Liquified Petroleum Gas,Net Deliveries,2021,3918.819
United Kingdom,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2489
United States,Balance,Liquified Petroleum Gas,Net Deliveries,2021,32652
Australia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,810
Austria,Balance,Liquified Petroleum Gas,Net Deliveries,2021,85.57
Belgium,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2378.1
Canada,Balance,Liquified Petroleum Gas,Net Deliveries,2021,7217.096
Chile,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1373.065
Czech Republic,Balance,Liquified Petroleum Gas,Net Deliveries,2021,422
Denmark,Balance,Liquified Petroleum Gas,Net Deliveries,2021,64
Estonia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,13
Finland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1093
France,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2989
Germany,Balance,Liquified Petroleum Gas,Net Deliveries,2021,3135.731
Greece,Balance,Liquified Petroleum Gas,Net Deliveries,2021,549.112
Hungary,Balance,Liquified Petroleum Gas,Net Deliveries,2021,428
Iceland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,3.257
Ireland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,165.055
Israel,Balance,Liquified Petroleum Gas,Net Deliveries,2021,611
Italy,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2925.339
Japan,Balance,Liquified Petroleum Gas,Net Deliveries,2021,11212.492
South Korea,Balance,Liquified Petroleum Gas,Net Deliveries,2021,10570.128
Latvia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,79.936
Lithuania,Balance,Liquified Petroleum Gas,Net Deliveries,2021,133.5
Luxembourg,Balance,Liquified Petroleum Gas,Net Deliveries,2021,0
Mexico,Balance,Liquified Petroleum Gas,Net Deliveries,2021,4791
Netherlands,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1966.19
Norway,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1088.276
New Zealand,Balance,Liquified Petroleum Gas,Net Deliveries,2021,187
Poland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2509.984
Portugal,Balance,Liquified Petroleum Gas,Net Deliveries,2021,827.249
Slovakia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,97.146
Slovenia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,79
Spain,Balance,Liquified Petroleum Gas,Net Deliveries,2021,1971.43
